team1,team2,winner,margin,ground,match_date,year
India,Australia,India,5 wickets,Visakhapatnam,"Oct 20, 2010",2010
India,Australia,India,5 wickets,Ahmedabad,"Mar 24, 2011",2011
India,Australia,Australia,72 runs,Pune,"Oct 13, 2013",2013
India,Australia,India,9 wickets,Jaipur,"Oct 16, 2013",2013
India,Australia,Australia,4 wickets,Mohali,"Oct 19, 2013",2013
India,Australia,no result,,Ranchi,"Oct 23, 2013",2013
India,Australia,India,6 wickets,Nagpur,"Oct 30, 2013",2013
India,Australia,India,57 runs,Bengaluru,"Nov 2, 2013",2013
India,Australia,India,26 runs,Chennai,"Sep 17, 2017",2017
India,Australia,India,50 runs,Kolkata,"Sep 21, 2017",2017
India,Australia,India,5 wickets,Indore,"Sep 24, 2017",2017
India,Australia,Australia,21 runs,Bengaluru,"Sep 28, 2017",2017
India,Australia,India,7 wickets,Nagpur,"Oct 1, 2017",2017
India,Australia,India,6 wickets,Hyderabad (Deccan),"Mar 2, 2019",2019
India,Australia,India,8 runs,Nagpur,"Mar 5, 2019",2019
India,Australia,Australia,32 runs,Ranchi,"Mar 8, 2019",2019
India,Australia,Australia,4 wickets,Mohali,"Mar 10, 2019",2019
India,Australia,Australia,35 runs,Delhi,"Mar 13, 2019",2019
