team1,team2,winner,margin,ground,match_date,year
Australia,India,Australia,65 runs,Melbourne,"Feb 5, 2012",2012
Australia,India,India,4 wickets,Adelaide,"Feb 12, 2012",2012
Australia,India,Australia,110 runs,Brisbane,"Feb 19, 2012",2012
Australia,India,Australia,87 runs,Sydney,"Feb 26, 2012",2012
Australia,India,Australia,4 wickets,Melbourne,"Jan 18, 2015",2015
Australia,India,no result,,Sydney,"Jan 26, 2015",2015
Australia,India,Australia,95 runs,Sydney,"Mar 26, 2015",2015
Australia,India,Australia,5 wickets,Perth,"Jan 12, 2016",2016
Australia,India,Australia,7 wickets,Brisbane,"Jan 15, 2016",2016
Australia,India,Australia,3 wickets,Melbourne,"Jan 17, 2016",2016
Australia,India,Australia,25 runs,Canberra,"Jan 20, 2016",2016
Australia,India,India,6 wickets,Sydney,"Jan 23, 2016",2016
Australia,India,Australia,34 runs,Sydney,"Jan 12, 2019",2019
Australia,India,India,6 wickets,Adelaide,"Jan 15, 2019",2019
Australia,India,India,7 wickets,Melbourne,"Jan 18, 2019",2019
Australia,India,India,36 runs,The Oval,"Jun 9, 2019",2019
