,team1,team2,winner,margin,ground,match_date
0,India,Sri Lanka,Sri Lanka,5 wickets,Dhaka,"Jan 5, 2010"
1,Bangladesh,India,India,6 wickets,Dhaka,"Jan 7, 2010"
2,India,Sri Lanka,India,8 wickets,Dhaka,"Jan 10, 2010"
3,Bangladesh,India,India,6 wickets,Dhaka,"Jan 11, 2010"
4,India,Sri Lanka,Sri Lanka,4 wickets,Dhaka,"Jan 13, 2010"
5,India,South Africa,India,1 run,Jaipur,"Feb 21, 2010"
6,India,South Africa,India,153 runs,Gwalior,"Feb 24, 2010"
7,India,South Africa,South Africa,90 runs,Ahmedabad,"Feb 27, 2010"
8,Zimbabwe,India,Zimbabwe,6 wickets,Bulawayo,"May 28, 2010"
9,India,Sri Lanka,India,7 wickets,Bulawayo,"May 30, 2010"
10,Zimbabwe,India,Zimbabwe,7 wickets,Harare,"Jun 3, 2010"
11,India,Sri Lanka,Sri Lanka,6 wickets,Harare,"Jun 5, 2010"
12,Bangladesh,India,India,6 wickets,Dambulla,"Jun 16, 2010"
13,India,Pakistan,India,3 wickets,Dambulla,"Jun 19, 2010"
14,Sri Lanka,India,Sri Lanka,7 wickets,Dambulla,"Jun 22, 2010"
15,Sri Lanka,India,India,81 runs,Dambulla,"Jun 24, 2010"
16,India,New Zealand,New Zealand,200 runs,Dambulla,"Aug 10, 2010"
17,Sri Lanka,India,India,6 wickets,Dambulla,"Aug 16, 2010"
18,Sri Lanka,India,Sri Lanka,8 wickets,Dambulla,"Aug 22, 2010"
19,India,New Zealand,India,105 runs,Dambulla,"Aug 25, 2010"
20,Sri Lanka,India,Sri Lanka,74 runs,Dambulla,"Aug 28, 2010"
21,India,Australia,India,5 wickets,Visakhapatnam,"Oct 20, 2010"
22,India,New Zealand,India,40 runs,Guwahati,"Nov 28, 2010"
23,India,New Zealand,India,8 wickets,Jaipur,"Dec 1, 2010"
24,India,New Zealand,India,9 wickets,Vadodara,"Dec 4, 2010"
25,India,New Zealand,India,5 wickets,Bengaluru,"Dec 7, 2010"
26,India,New Zealand,India,8 wickets,Chennai,"Dec 10, 2010"
27,South Africa,India,South Africa,135 runs,Durban,"Jan 12, 2011"
28,South Africa,India,India,1 run,Johannesburg,"Jan 15, 2011"
29,South Africa,India,India,2 wickets,Cape Town,"Jan 18, 2011"
30,South Africa,India,South Africa,48 runs,Port Elizabeth,"Jan 21, 2011"
31,South Africa,India,South Africa,33 runs,Centurion,"Jan 23, 2011"
32,Bangladesh,India,India,87 runs,Dhaka,"Feb 19, 2011"
33,India,England,tied,,Bengaluru,"Feb 27, 2011"
34,India,Ireland,India,5 wickets,Bengaluru,"Mar 6, 2011"
35,India,Netherlands,India,5 wickets,Delhi,"Mar 9, 2011"
36,India,South Africa,South Africa,3 wickets,Nagpur,"Mar 12, 2011"
37,India,West Indies,India,80 runs,Chennai,"Mar 20, 2011"
38,India,Australia,India,5 wickets,Ahmedabad,"Mar 24, 2011"
39,India,Pakistan,India,29 runs,Mohali,"Mar 30, 2011"
40,India,Sri Lanka,India,6 wickets,Mumbai,"Apr 2, 2011"
41,West Indies,India,India,4 wickets,Port of Spain,"Jun 6, 2011"
42,West Indies,India,India,7 wickets,Port of Spain,"Jun 8, 2011"
43,West Indies,India,India,3 wickets,North Sound,"Jun 11, 2011"
44,West Indies,India,West Indies,103 runs,North Sound,"Jun 13, 2011"
45,West Indies,India,West Indies,7 wickets,Kingston,"Jun 16, 2011"
46,England,India,no result,,Chester-le-Street,"Sep 3, 2011"
47,England,India,England,7 wickets,Southampton,"Sep 6, 2011"
48,England,India,England,3 wickets,The Oval,"Sep 9, 2011"
